id,title,author,created_at,merged_at,lead_time_days,changed_files,additions,deletions
890,Add stdint import for GCC 15,arctic-alpaca,2025-04-17 13:15:24+00:00,2025-07-15 13:44:13+00:00,89,0,0,0
889,Fix E2E protection checker counter increment,wangdongustc,2025-04-15 16:25:57+00:00,2025-09-15 10:53:49+00:00,152,0,0,0
844,Fix incorrect microsecond extraction in logging timestamps,yaqian256,2025-02-06 10:02:13+00:00,2025-04-08 10:46:13+00:00,61,0,0,0
840,Code Quality: Address shadowing,kheaactua,2025-01-28 13:21:04+00:00,2025-08-14 15:02:31+00:00,198,0,0,0
835,Small modernizations to internal.hpp,kheaactua,2025-01-13 17:08:20+00:00,2025-05-12 18:25:36+00:00,119,0,0,0
780,Wrap options are linker flags,kheaactua,2024-10-10 16:16:14+00:00,2025-04-08 09:55:20+00:00,179,0,0,0
777,Fixed if-guard name,kheaactua,2024-10-07 15:50:47+00:00,2024-11-28 11:10:41+00:00,51,0,0,0
775,Remove redundant ostream manipulators sync update ,duartenfonseca,2024-10-04 16:34:23+00:00,2024-11-28 15:34:43+00:00,54,0,0,0
774,Fix capturing references to stack variables,kheaactua,2024-10-03 14:58:34+00:00,2024-11-28 16:04:46+00:00,56,0,0,0
763,"When the threshold is set to 1 in the configuration, the initial event sent for client 2 is always multicast rather than unicast.",Vignesh-Murugappan,2024-09-10 07:33:41+00:00,2025-05-12 18:26:23+00:00,244,0,0,0
762,Fix for Find messages received with Unicast Flag set to 0 (multicast) shall be ignored,SarbeenaS,2024-09-10 05:23:16+00:00,2025-01-07 18:01:27+00:00,119,0,0,0
740,main_phase_timer should be stopped along with SD,kheaactua,2024-07-12 14:36:24+00:00,2024-09-11 13:50:19+00:00,60,0,0,0
734,Modernize CMake code,kheaactua,2024-06-28 15:33:20+00:00,2025-07-17 13:47:59+00:00,383,0,0,0
733,vSomeIP 3.5.1,fcmonteiro,2024-06-27 11:07:34+00:00,2024-10-03 18:02:20+00:00,98,0,0,0
729,Fix Android log definition typos,falk-haleytek,2024-06-25 12:03:36+00:00,2024-08-22 08:46:26+00:00,57,0,0,0
728,Log offers on first occurrence in routing manager,falk-haleytek,2024-06-25 12:01:16+00:00,2024-11-28 16:05:22+00:00,156,0,0,0
727,Fix trace logging truncation,falk-haleytek,2024-06-25 11:56:10+00:00,2024-07-31 09:21:00+00:00,35,0,0,0
716,Add and expose settings for SD find debounce as config options,tommyhaley,2024-06-05 12:03:10+00:00,2025-02-19 18:59:30+00:00,259,0,0,0
707,Fix documentation for `unregister_availability_handler`,Ax9DTW,2024-05-21 06:44:25+00:00,2024-09-02 14:36:45+00:00,104,0,0,0
698,Fix possible dangling pointer,StalinCCCP,2024-05-09 12:34:50+00:00,2025-01-07 16:34:53+00:00,243,0,0,0
654,Fix Multi-Routing-Managers in one Process (#603),akhzarj,2024-03-18 09:24:09+00:00,2024-11-28 16:05:57+00:00,255,0,0,0
635,Delete twice definition of port_t in primitive_types.hpp (#624),reymor,2024-02-19 19:18:10+00:00,2025-01-09 16:29:12+00:00,324,0,0,0
