id,title,author,created_at,merged_at,lead_time_days
956,vSomeIP 3.5.8 Release,vvcarvalho-csw,2025-09-16 13:05:28+00:00,2025-10-13 08:39:45+00:00,26
955,3.5.8 commits,duartenfonseca,2025-09-15 10:50:03+00:00,2025-09-15 10:52:18+00:00,0
943,vSomeip-Lib 3.5.7,duartenfonseca,2025-08-18 13:35:51+00:00,2025-08-18 13:38:17+00:00,0
941,3.5.7 batch2,duartenfonseca,2025-08-18 11:42:52+00:00,2025-08-18 13:13:53+00:00,0
940,fix github actions,duartenfonseca,2025-08-14 16:58:31+00:00,2025-08-19 15:50:34+00:00,4
939,3.5.7 batch1,duartenfonseca,2025-08-14 16:43:59+00:00,2025-08-14 16:45:21+00:00,0
933,3.5.7 10cmms,duartenfonseca,2025-07-25 16:25:47+00:00,2025-07-25 16:28:51+00:00,0
932,3.5.7 3 - commits,duartenfonseca,2025-07-25 14:07:32+00:00,2025-07-25 14:08:38+00:00,0
930,New prs 3.5.7 2,duartenfonseca,2025-07-17 11:48:09+00:00,2025-07-17 13:27:20+00:00,0
929,Adding missing flag,duartenfonseca,2025-07-16 15:47:31+00:00,2025-07-16 15:49:01+00:00,0
927,New prs 3.5.7 part2,duartenfonseca,2025-07-15 16:58:21+00:00,2025-07-16 09:39:01+00:00,0
926,New prs 3.5.7,duartenfonseca,2025-07-15 13:23:49+00:00,2025-07-15 13:42:44+00:00,0
924,Rename `IPV3` to `IPV4`,Alioth4J,2025-07-08 13:08:30+00:00,2025-07-25 14:09:59+00:00,17
923,Update master,duartenfonseca,2025-07-07 13:54:06+00:00,2025-07-07 14:17:19+00:00,0
915,Release 3.5.6,duartenfonseca,2025-06-26 15:33:20+00:00,2025-06-26 15:50:53+00:00,0
914,3.5.6 new commits,duartenfonseca,2025-06-17 10:30:44+00:00,2025-06-17 11:08:43+00:00,0
903,3.5.6 new commits,duartenfonseca,2025-05-22 14:49:28+00:00,2025-05-22 15:29:48+00:00,0
898,New PRs for 3.5.6,duartenfonseca,2025-05-12 18:04:59+00:00,2025-05-12 18:25:03+00:00,0
893,3.5.6 new commits,duartenfonseca,2025-04-23 16:20:06+00:00,2025-04-24 16:39:56+00:00,1
890,Add stdint import for GCC 15,arctic-alpaca,2025-04-17 13:15:24+00:00,2025-07-15 13:44:13+00:00,89
889,Fix E2E protection checker counter increment,wangdongustc,2025-04-15 16:25:57+00:00,2025-09-15 10:53:49+00:00,152
884,3.5.6 branch3,duartenfonseca,2025-04-08 10:23:54+00:00,2025-04-08 10:44:55+00:00,0
